Cod_ID,NOME_UDH,CODMUN6,NOME_MUN,ANO,IDHM,CleanEnergy,Mobility,AirQuality,Economy,Employment,Housing,Education,Healthcare
1350390100001,Fazenda Velha,350390,Arujá (SP),2000,0.584,9.43204868154158,,9.779885798489595,0.8431975626635667,4.458462270887885,9.718973972086003,2.4886877828054303,1.1363636363636362
1350390100002,Arujá : Escola Municipal Parque Rodrigo Barreto Unidade IV / Escola Municipal de Ensino Fundamental Professor Eufly Gomes / Escola Municipal Dona Maria Benedita / Escola Estadual Pastor Carlos Richard Strautmann,350390,Arujá (SP),2000,0.584,10.0,,9.267820961503041,0.9740223464783047,3.7229231135443945,9.55488494907582,2.4736048265460036,0.8712121212121199
1350390100003,Arujá : Estrada Arujá-Santa Isabel / Jardim Santo Antonio,350390,Arujá (SP),2000,0.688,7.464503042596352,,9.140725732179037,2.8868804951969147,4.779814329921447,9.622783855149,3.876319758672701,4.469696969696973
1350390100004,Arujá : Escola Municipal Arujá Unidade XII / Escola Estadual Professor Mariano Barbosa de Souza,350390,Arujá (SP),2000,0.584,10.0,,9.267820961503041,0.9740223464783047,3.7229231135443945,9.55488494907582,2.4736048265460036,0.8712121212121199
1350390100005,São Bento,350390,Arujá (SP),2000,0.793,9.59432048681541,,9.451095966107939,4.572999423852277,6.369911925731968,9.586948321388157,5.9879336349924595,6.325757575757576
1350390100006,Arujá : Escola Técnica Estadual Doutora Maria Augusta Saraiva ( Etec ) / 35º Batalhão Polícia Milita r/ Escola Estadual República Dominicana,350390,Arujá (SP),2000,0.688,7.464503042596352,,9.140725732179037,2.8868804951969147,4.779814329921447,9.63410033949453,3.876319758672701,4.469696969696973
1350390100007,Arujá : Faculdade e Seminário Teológico da Fé Reformada ( Fatefé ),350390,Arujá (SP),2000,0.596,9.61460446247465,,9.603978633265793,1.12944206512922,4.629850035705785,9.63032817804602,2.6998491704374072,1.2878787878787898
1350390100008,Arujá : Clube de Mães da Escola Municipal de Educação Infantil / Escola Municipal Aruja do Parque Barreto Unidade IV,350390,Arujá (SP),2000,0.822,10.0,,9.381101491987474,5.927187904431816,5.670078552725542,9.519992455677103,5.897435897435899,7.007575757575756
1350390100009,São Bento : Escola Municipal de Educação Infantil Aruja V,350390,Arujá (SP),2000,0.822,10.0,,9.381101491987474,5.927187904431816,5.670078552725542,9.552055827989438,5.897435897435899,7.007575757575756
1350390100010,Arujá : Escola Estadual Professora Maria Isabel Neves Bastos / Escola Estadual Professor Amadeu de Angelis,350390,Arujá (SP),2000,0.688,7.464503042596352,,9.140725732179037,2.8868804951969147,4.779814329921447,9.655790267823463,3.876319758672701,4.469696969696973
1350390100011,Arujá : Escola Municipal de Educação Especial de Arujá / Escola Estadual Professor Geraldo Barbosa de Almeida / Creche Municipal Dona Avelina Dalila Leopoldina Almeida,350390,Arujá (SP),2000,0.596,9.61460446247465,,9.603978633265793,1.12944206512922,4.629850035705785,9.610524330441343,2.6998491704374072,1.2878787878787898
